epoch,loss,accuracy,balanced_accuracy,roc_auc
1,1.1939850992626615,0.6916666666666667,0.49833333333333335,0.4951944444444445
2,1.1626295963923137,0.6972222222222222,0.5983333333333334,0.6388194444444445
3,1.1164052698347304,0.6680555555555555,0.6608333333333334,0.7235555555555556
4,1.1209212356143528,0.6694444444444444,0.695,0.7498472222222222
5,1.1076065103212993,0.6736111111111112,0.7041666666666666,0.7639722222222223
6,1.0486356523301867,0.6763888888888889,0.7158333333333333,0.7751388888888888
7,1.0289720561769273,0.6763888888888889,0.7191666666666667,0.7862916666666666
8,1.0084303432040744,0.6791666666666667,0.7208333333333333,0.79825
9,0.9895903587341308,0.6847222222222222,0.7241666666666666,0.8086666666666666
10,0.98979705174764,0.6958333333333333,0.7408333333333333,0.8161805555555556
11,0.96871956454383,0.6944444444444444,0.7366666666666667,0.824
12,0.9492720074123806,0.7,0.7566666666666666,0.8321527777777777
13,0.9399752312236362,0.7041666666666667,0.7591666666666667,0.8421527777777779
14,0.9198516527811686,0.7125,0.7641666666666667,0.8461111111111111
15,0.8888357294930352,0.7138888888888889,0.7683333333333333,0.8515972222222222
16,0.8994049072265625,0.7263888888888889,0.7725,0.8578194444444445
17,0.9047223170598347,0.7319444444444444,0.7791666666666667,0.8616111111111111
18,0.8502622975243462,0.7236111111111111,0.7675000000000001,0.8636111111111112
19,0.87194947136773,0.7347222222222223,0.7808333333333333,0.8664027777777779
20,0.862985020213657,0.7375,0.7825,0.8691249999999999
21,0.8657547500398424,0.7388888888888889,0.7866666666666666,0.8730555555555555
22,0.8790948192278544,0.7375,0.7958333333333334,0.8763194444444444
23,0.8458765612708198,0.7527777777777778,0.8049999999999999,0.8803888888888889
24,0.8024478382534451,0.7555555555555555,0.8033333333333333,0.8825138888888888
25,0.8407983111010657,0.7638888888888888,0.8049999999999999,0.8847777777777778
26,0.790355740653144,0.775,0.8083333333333333,0.8887222222222222
27,0.7866883171929253,0.7791666666666667,0.8175,0.8894583333333332
28,0.7923255721728008,0.7777777777777778,0.8133333333333334,0.8892222222222222
29,0.8135859356986151,0.7736111111111111,0.8041666666666667,0.8927638888888888
30,0.7948246902889675,0.7791666666666667,0.8141666666666667,0.8946805555555555
31,0.7795920742882623,0.7777777777777778,0.8066666666666666,0.8977777777777778
32,0.8042965253194173,0.7916666666666666,0.8283333333333334,0.8986111111111111
33,0.8003073374430338,0.7944444444444444,0.8266666666666667,0.8995833333333333
34,0.758387373553382,0.8069444444444445,0.8374999999999999,0.9042777777777778
35,0.7470177385542128,0.8027777777777778,0.8283333333333334,0.9048611111111111
36,0.7679619391759237,0.8041666666666667,0.8291666666666666,0.9074583333333333
37,0.7453017327520582,0.8055555555555556,0.8266666666666667,0.9079722222222222
38,0.7811515132586161,0.7972222222222223,0.8283333333333334,0.9092361111111111
39,0.7692639999919467,0.8111111111111111,0.84,0.9106388888888889
40,0.773308965894911,0.8097222222222222,0.8358333333333333,0.9111666666666666
41,0.7400928775469462,0.8138888888888889,0.8416666666666667,0.9142638888888889
42,0.7619552539454566,0.8125,0.8375,0.9157638888888889
43,0.726396667957306,0.8125,0.8375,0.9159861111111111
44,0.7434070097075568,0.8055555555555556,0.8366666666666667,0.9147083333333333
