epoch,loss,accuracy,balanced_accuracy,roc_auc
45,0.7195156839158799,0.8166666666666667,0.8533333333333333,0.9182222222222223
46,0.751321640279558,0.8138888888888889,0.845,0.9214444444444445
47,0.7175498432583279,0.8236111111111111,0.8574999999999999,0.9202222222222223
48,0.7411695135964288,0.8236111111111111,0.8508333333333333,0.9182222222222223
49,0.686842491891649,0.8166666666666667,0.8466666666666667,0.9202777777777778
50,0.7551886320114136,0.8208333333333333,0.8491666666666666,0.9232916666666667
51,0.7094123681386312,0.8222222222222222,0.8566666666666667,0.9244444444444444
52,0.675446883837382,0.825,0.8483333333333334,0.926125
53,0.7367377877235413,0.8194444444444444,0.8416666666666667,0.9255277777777777
54,0.7243918928835127,0.8263888888888888,0.8591666666666666,0.9249305555555556
55,0.7252471155590481,0.8263888888888888,0.8558333333333333,0.9280694444444445
56,0.6975712921884325,0.8263888888888888,0.8525,0.9258333333333334
57,0.6237238652176327,0.8236111111111111,0.8408333333333333,0.9264861111111111
58,0.6667836361461216,0.8263888888888888,0.8425,0.927875
59,0.7309087753295899,0.8194444444444444,0.845,0.9272916666666666
60,0.6583278470569187,0.8277777777777777,0.8533333333333333,0.9276527777777778
61,0.7165908257166544,0.8333333333333334,0.8533333333333333,0.9286249999999999
62,0.696805461247762,0.8402777777777778,0.8641666666666667,0.9276666666666668
63,0.7465801397959392,0.8291666666666667,0.8474999999999999,0.9295555555555556
64,0.744364587465922,0.8333333333333334,0.85,0.9314861111111111
65,0.6609733555052015,0.8375,0.8625,0.9331111111111111
66,0.6740367637740241,0.8361111111111111,0.865,0.9322083333333333
67,0.7006883932484521,0.8444444444444444,0.86,0.9325694444444445
68,0.6920201420783997,0.8375,0.8491666666666666,0.9349166666666667
69,0.730673344930013,0.8402777777777778,0.8474999999999999,0.9339583333333333
70,0.6822523381974962,0.8388888888888889,0.8466666666666667,0.9329583333333333
71,0.7078414705064562,0.8430555555555556,0.8725,0.9344444444444445
72,0.6447953542073568,0.8388888888888889,0.8733333333333333,0.9341805555555556
73,0.6823858817418417,0.8430555555555556,0.8725,0.9367083333333334
74,0.6817611376444499,0.8430555555555556,0.8725,0.9350694444444445
75,0.671676614549425,0.8458333333333333,0.8775,0.9341944444444444
76,0.6657761335372925,0.8430555555555556,0.8725,0.9366944444444444
77,0.6633759730392033,0.8402777777777778,0.8574999999999999,0.9382222222222222
78,0.6493573122554355,0.8361111111111111,0.8583333333333334,0.9366388888888888
79,0.6565607402059767,0.8430555555555556,0.8658333333333333,0.9372083333333333
80,0.6981241716278924,0.8416666666666667,0.8716666666666666,0.9372222222222222
